Site ID,Screening Flag,Parameter Group,Location Group Name,Field Sample ID,Location ID,Sample Date,Parameter Name,Report Result,Report Units,Lab Qualifier,Detected,Sample Matrix,Sample Purpose,Sample Type,Sample Time,Sample Usage Code,Latitude (Decimal),Longitude (Decimal),Filtered,Field Preparation Code,Field Sample Comments,Lab Matrix,COC #,Lab Method,Report Detection Limit
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-319020","Sandia left fork at Asph Plant","06-09-2024","Aluminum","7150","ug/L",,"Y","W","REG","WT","15:59","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3352","EPA:200.8","50.0"
"N3B","N","METALS","StreamGages_Sandia","WT_LAP-24-318912","Sandia left fork at Asph Plant","06-09-2024","Aluminum","143","ug/L",,"Y","W","REG","WT","15:59","INV","35.875414000000","-106.318515900000","Y","F",,"W","N3B-2024-3352","EPA:200.8","50.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321311","Sandia left fork at Asph Plant","06-27-2024","Suspended Sediment Concentration","238","mg/L",,"Y","W","REG","WT","16:07","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 381","W","N3B-2024-3750","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321310","Sandia left fork at Asph Plant","06-27-2024","Suspended Sediment Concentration","310","mg/L",,"Y","W","REG","WT","16:05","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 378","W","N3B-2024-3750","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321309","Sandia left fork at Asph Plant","06-27-2024","Suspended Sediment Concentration","421","mg/L",,"Y","W","REG","WT","16:03","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 377","W","N3B-2024-3750","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321308","Sandia left fork at Asph Plant","06-27-2024","Suspended Sediment Concentration","540","mg/L",,"Y","W","REG","WT","16:01","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 377","W","N3B-2024-3750","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321307","Sandia left fork at Asph Plant","06-27-2024","Suspended Sediment Concentration","773","mg/L",,"Y","W","REG","WT","15:59","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 378","W","N3B-2024-3750","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319489","Sandia left fork at Asph Plant","06-27-2024","Suspended Sediment Concentration","80.3","mg/L",,"Y","W","REG","WT","16:26","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 373","W","N3B-2024-3724","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-330716","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","122","mg/L",,"Y","W","REG","WT","19:14","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3657","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321298","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","52.4","mg/L",,"Y","W","REG","WT","19:24","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321297","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","56.4","mg/L",,"Y","W","REG","WT","19:22","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321296","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","61.4","mg/L",,"Y","W","REG","WT","19:20","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321295","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","66.4","mg/L",,"Y","W","REG","WT","19:18","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321294","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","76.1","mg/L",,"Y","W","REG","WT","19:16","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321293","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","81.5","mg/L",,"Y","W","REG","WT","19:14","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321292","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","89.6","mg/L",,"Y","W","REG","WT","19:12","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321291","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","97.9","mg/L",,"Y","W","REG","WT","19:10","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321290","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","113","mg/L",,"Y","W","REG","WT","19:08","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321289","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","157","mg/L",,"Y","W","REG","WT","19:06","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321288","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","160","mg/L",,"Y","W","REG","WT","19:04","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321287","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","184","mg/L",,"Y","W","REG","WT","19:02","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321286","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","199","mg/L",,"Y","W","REG","WT","19:00","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321285","Sandia left fork at Asph Plant","06-21-2024","Suspended Sediment Concentration","192","mg/L",,"Y","W","REG","WT","18:58","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3652","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319525","Sandia left fork at Asph Plant","07-01-2024","Suspended Sediment Concentration","49.9","mg/L",,"Y","W","REG","WT","17:58","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts 365","W","N3B-2024-3802","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-330752","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","207","mg/L",,"Y","W","REG","WT","18:00","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 359","W","N3B-2024-3749","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321354","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","34.1","mg/L",,"Y","W","REG","WT","21:04","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 389","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321353","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","36.6","mg/L",,"Y","W","REG","WT","20:44","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 392","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321352","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","23.4","mg/L",,"Y","W","REG","WT","20:24","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 395","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321351","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","31.5","mg/L",,"Y","W","REG","WT","20:04","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 395","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321350","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","58.4","mg/L",,"Y","W","REG","WT","19:44","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 390","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-321349","Sandia left fork at Asph Plant","06-29-2024","Suspended Sediment Concentration","80.7","mg/L",,"Y","W","REG","WT","19:24","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 389","W","N3B-2024-3849","ASTM:D3977-97","5.0"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-333893","Sandia left fork at Asph Plant","07-17-2024","Alkalinity-CO3+HCO3","27.0","mg/L",,"Y","W","REG","WT","17:28","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED 360 counts ","W","N3B-2024-4186","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319741","Sandia left fork at Asph Plant","07-01-2024","Alkalinity-CO3+HCO3","24.4","mg/L",,"Y","W","REG","WT","17:48","INV","35.875414000000","-106.318515900000","N","UF"," SAMPLE COLLECTED SAMPLE RETRIEVED Counts 365","W","N3B-2024-3824","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319740","Sandia left fork at Asph Plant","06-29-2024","Alkalinity-CO3+HCO3","32.9","mg/L",,"Y","W","REG","WT","18:08","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 366","W","N3B-2024-3753","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319705","Sandia left fork at Asph Plant","06-27-2024","Alkalinity-CO3+HCO3","34.9","mg/L",,"Y","W","REG","WT","16:16","INV","35.875414000000","-106.318515900000","N","UF"," Counts: 360","W","N3B-2024-3723","EPA:310.1","2.00"
"N3B","N","GEN_CHEM","StreamGages_Sandia","WT_LAP-24-319704","Sandia left fork at Asph Plant","06-21-2024","Alkalinity-CO3+HCO3","38.8","mg/L",,"Y","W","REG","WT","19:22","INV","35.875414000000","-106.318515900000","N","UF",,"W","N3B-2024-3656","EPA:310.1","2.00"
